id,title,abstract
9657230,Exploring the Concept of Computational Thinking in STEM Education,"computational thinking (ct) term came into extensive use as an accepted term in recent years between practitioners and researchers in the educational field. it was predicted that ct would be a primary ability which would harmonize reading, writing and arithmetic intended for science technology engineering and medicine (stem) students and educators to sustain scientific revolution. the incorporation at earlier stages of ct and related concepts to students education has gained significance and is paramount evidenced by the changes in policy, curriculum and practice. this work deals with the computational education considerations for the freshman engineering course learners, a step further than teaching with programming and employing ct elements for enhancing students problem-solving abilities and logical thoughts which benefit to a great extent throughout the students learning expedition. finally, the outcomes achieved have been presented and suggesting what should be done on bringing computational thinking into classes"
10487449,Towards the Assessment of Basic Computational Thinking Skills Using Syntactic Analysis Techniques,"this article introduces an exploratory method for automatically grading programming exam questions using syntactic analysis. the target problem is the lack of a robust, scalable, and automated method to analyze computational thinking skills from source code written by elementary school students. the proposed method uses a variety of techniques to assess student responses, including analyzing the programming structure, programming correctness, and code execution based on certain parameters defined during the exercise specification. analysis of the source code and evaluation of the answers to the exercises are carried out using high performance computing to improve the response time of the system. this preliminary work will contribute to a robust method for automated exam scoring, which is expected to assess and support the development of computational thinking among students."
10645865,Effectiveness of marker-based augmented reality game on computational thinking skills and cognitive load for middle school students,"computational thinking (ct) gained significant importance in education, leading to a surge in the development of dedicated instructional platforms. the cultivation of students ct skills posed a challenge, often involving the introduction of abstract and challenging-to-visualize programming concepts. this study aimed to bridge this gap by introducing an augmented reality-based coding gamean interactive learning platform designed to facilitate students in acquiring programming skills and enhancing their grasp of computational thinking concepts. the augmented reality (ar) digital game is specifically directed towards fundamental ct skills, such as pattern recognition, decomposition, abstraction, and developing algorithms. to evaluate the effectiveness of the ar game in enhancing ct skills, a study was conducted with 124 middle school students, entailing in grades 6th and 8th. the experimental group (n 63) utilized the ar game, while the control group (n 61) relied on conventional text materials. the findings of the experiment strongly supported the integration of ar technology along with game-based learning as a means to enhance ct knowledge and skills while simultaneously reducing cognitive load."
9155698,Comparing the effects of robots and IoT objects on STEM learning outcomes and computational thinking skills between programming-experienced learners and programming-novice learners,"recent college students have been observed to be motivated and engaged in acquiring science, technology, engineering, and mathematics (stem) knowledge and skills with robots and iot objects. a sample of 13 masters students participated in the program. data collected include the pre-and post- stem and computational thinking (ct) written tests, and the pre- and post- surveys of learning perceptions toward the robots and iot objects learning activities. the results show that the learning activities were an effective approach for the masters students stem learning outcome and ct as shown in the post-test. the differences between the masters students stem learning outcome, ct, and perceptions were also confirmed, particularly between the groups of computer programming-experienced learners and computer programming-novice learners. the results revealed that the learning activities with robots and iot objects could improve the overall masters students ct, stem knowledge, and learning perceptions. both programming-experienced and programming-novice learners stem learning outcome were improved."
8943727,Pilot Experience: Play and Program with Bee-Bot to Foster Computational Thinking Learning in Young Children,"this document presents some results obtained in the development of the pilot experience my first steps in robotics. the activity is part of a doctoral research aimed at promoting programming skills and computational thinking through robotics in the early stages of school. in the formative experience participated teachers and students of pre-school education from a school in salamanca, spain, during the academic year 2016-2017. the proposed activities were based on solving problems through programming challenges with the bee-bot robot. in order to collect data, questionnaires, rubrics, field diaries and interviews were used. the results show teachers and students favorably accepted the robotics resource used and the learning activities. in the same way, the performance achieved by the students marked a favorable level according to the evaluation scale used. therefore, the development of the pilot experience was effective and useful in strengthening the research activities that were subsequently carried out."
8753395,The Use of Different Kinds of Robots to Spark Student Interest in Learning Computational Thinking,"educational robots have been used in schools for stem education and for teaching students programming and computational thinking (ct) for many years. the look and feel of traditional robots for educational purposes such as lego mindstorms and nxt have been mostly engineering-oriented. not until recently, have robotic products such as dash dot utilized physical appearance which were cute and kid-friendly. this study compared the effects of using two kinds of robots- dash dot and lego nxt, in terms of students performance, students attitudes about learning activities, and how different genders respond to various robots. a quasi-experimental design was conducted. the participants consisted of 106 6th graders from four classes of students. two classes were designated as the experimental groups which used dash dot robots,). the other two classes of students were the control groups which used nxt robots. with respect to students attitudes toward learning, the study showed no significant difference between experimental and control groups. with respect to learning programming skills, it was found that females in the experimental group prefer to use robots. females showed a definite preference for using the dash dot robots."
9694003,The impact of different types of scaffolding in project-based learning on girls' computational thinking skills and self-efficacy,"gender differences in computational thinking (ct) among students are obvious, with boys ct being significantly higher than girls. therefore, how to effectively improve girls ct has become a serious concern. this study integrated two types of project-based learning (pbl) into a scratch programming course, one with extensive teacher-supported scaffolding and the other with limited teacher-supported scaffolding. to examine their impact on girls ct skills and self-efficacy, this study applied mixed research methods, conducted a pretest-posttest control group experiment, and analyzed the quantitative and qualitative data collected from 21 grade-3 girls in a primary school. it was found that the extensive teacher-supported scaffolding of pbl in a scratch programming course is more effective in promoting the ct skills and self-efficacy than limited teacher-supported scaffolding of pbl. these findings have some implications for the effective pbl practice and related teacher professional development."
8995162,Developing a Teacher Training Curriculum Including Computational Thinking Skills: Early Advances on a Study Focused on Colombia,"during training at the complementary formation program (cfp), colombian primary school teachers do not acquire computational thinking (ct) skills, which are considered fundamental for the knowledge economies of the 21st century. in this paper, we describe the early stages of a project aiming to reform the cfp curriculum, such that ct skills becomes an integral part. as a first step, we carried-out four introductory workshops with 64 first-and third-semester cfp students and then surveyed them to gather their perceptions on ct. the results show that the students have a limited understanding of ct and its associated skills, but they recognize their importance. moreover, they agree that primary school should be the starting point to develop them. the project will continue gathering information from current cfp teachers, current primary school teachers, and university professors who are experts in curriculum development, to develop the curricular proposal."
5228288,Exploration of ability development of engineering and computational thinking skills in software engineering majors,"software talents should have the engineering ability, a common sense in it industry, which is characterized by the fact that design plays a very important role in software engineering. basis on the enhancement of computational thinking, the reform ideas of the development of the students engineering ability are introduced. the detailed approaches include: 1) extraction of fundamental discipline concept of engineering ability development; 2) problem solving-centered organization of courses of software development tools; 3) initiate the courses of software engineering as soon as possible; 4) continual training of abstract logical thinking for the purpose of software abstract thinking."
8853613,Assessment of Computational Thinking in regular basic education: case I.E.T.P. “José Obrero”,"in regular basic education environments, one of the challenges of computer and computing courses or similar is to motivate students, who perceive programming as a difficult task. arduino board is recognized as a tool to improve programming skills and to facilitate teamwork. in this paper, computational thinking is evaluated through concepts, practices and computational perspectives of the activities carried out with the arduino board by the 5th-grade students of secondary education of the jos obrero parochial technical educational institution in the district of san mateo from the province of huarochir of lima region."
10260990,An Educational Game to Promote the Development of Computational Thinking in Children Both Neurotypical and with Intellectual Disabilities,"computational thinking (ct) is a way to structure thinking to solve problems, which develops cognitive skills. educational digital games (edg) are a potential tool to work with ct, stimulating the students interest and learning. still, to make these games playable by children with intellectual disabilities (id), it is necessary to have adaptations suitable to their educational needs. therefore, this paper presents the development and evaluation of the edg pensar e vestir (pev). this game addresses a daily life activity, the process of choosing clothes and the act of wearing them, and aims to promote the development of ct in children both neurotypical and with id. the development process was supported by id, education, and specialized education treatment specialists based on accessibility guidelines. in the end, there were two evaluations, firstly with the specialists and then with computation students, to validate the functional and technical requirements. currently, the game is in evaluation by its target audience."
10893039,Towards Incorporating Computational Thinking Skills Across the Curriculum,"this research-to-practice full paper describes k-12 diversity and broadening participation through the integration of computational thinking (ct) across the curriculum. ct is implicit within the current high school curriculum and used by teachers and students every day in their classrooms across multiple content areas. most students are unaware they are using these skills and that these skills are the foundation of learning computer science. over a series of workshops, high school teachers and students, and university faculty discussed the need to incorporate ct skills throughout the high school curriculum to improve those skills in students and to impart a better understanding of computer science. the result was a guide created to assist high school teachers to make ct concepts explicit in their classes. a main component of the guide includes specific examples of how to incorporate ct skills in various content areas. the guide was created on a foundation of cultural relevance and cogenerative dialogues. here we describe salient points about the creation of the guide and insights gained during these workshops."
8363311,Development and assessment of computational thinking: A methodological proposal and a support tool,"the objective of this work is focused on the definition of a methodology for the development of computational thinking and the subsequent measurement of the development obtained in the students. the methodological proposal includes specific tasks or activities to develop computational thinking as well as tests that allow analyzing the extent to which computational thinking or skills related to problem solving have been developed in a scientific, specific, or even general or of practical application in situations of daily life. once the methodological framework was defined, we proceeded to develop a computer tool that provides global support for the implementation of this methodology. the implemented platform has a simple and intuitive design that allows an easy use of it since it is aimed at pre-university students and teachers who necessarily do not have advanced knowledge of computer science. finally, the platform automatically provides progress reports and course development, including statistical data by age or gender, among others."
8590099,Scratching Out Problems: Exploring the Use of Computational Thinking for Social Work in Rural India,"technologies for development have great potential in accelerating the socio-economic progress of disadvantaged communities. but these technologies are usually developed by people removed from the daily realities of fieldwork. this paper explores the need and the possibilities of educating rural populations and social workers on the use of technology to create their own digital artifacts. we discuss two workshops, one for villagers in the state of telangana and the second one for graduate students of a university social work department exploring the use of mits scratch software as a tool for assisting in social interventions. we also discuss the results of an acceptability study among the social work students to gauge the potential for such a tool to be used in the field."
10496944,Construction and Application of a Computational Thinking Assessment Framework from the Perspective of the Iceberg Model,"computational thinking assessment is an important part of testing the effectiveness of computational thinking cultivation. however, the existing computational thinking assessments still suffer from the problem of insufficient examination of non-cognitive factors, leading to the lack of validity of its assessment results. since the iceberg model can comprehensively and deeply explore individual characteristics, this paper draws on the division idea of the model and divides computational thinking into explicit computational thinking the basic knowledge required to solve problems using computational thinking and implicit computational thinking the internal psychological characteristics of individuals in the process of using computational thinking. a comprehensive assessment framework of computational thinking is constructed, which contains five dimensions: knowledge and skills, self-efficacy, internet attitude, learning motivation, and thinking style. finally, its application in the hierarchical teaching of computational thinking and suggestions for personalized teaching programs are given in order to promote the development of personalized education in computational thinking."
9125368,Computational Thinking Test for Beginners: Design and Content Validation,"computational thinking (ct) is a fundamental skill that is not only confined to computer scientists activities but can be widely applied in daily life and is required in order to adapt to the future and, therefore, should be taught at early ages. within this framework, assessing ct is an indispensable part to consider in order to introduce ct in the school curricula. nevertheless, efforts involving the formal assessment of computational thinking has primarily focused on middle school grades and above; and are mostly based on the analysis of projects in specific programming environments. a beginners computational thinking test (bctt), aimed at early ages, and based on the computational thinking test 1, has been designed including several improvements; submitted to a content validation process through experts judgement procedure; and administered to primary school students. the bctt design is considered adequate by experts and results show a high reliability for the assessment of ct in primary school, particularly in first educational stages."
9526726,The Teaching Mode and Practice Analysis of College Computer Basic Course Based on Computational Thinking,"this paper mainly adopts the theory with practice, combines the computational thinking method with education and teaching, and constructs the inquiry teaching model based on computational thinking. we adopt the formal teaching model and learning model, incremental expression of computational thinking ability to improve the effect, from the computational thinking of automation, abstract characteristics of the teaching and learning model based on computational thinking formalization. then, in the case study, the learning support technology scheme of mooc course platform combining mobile terminal and html5 is designed. through teaching practice and quantitative analysis of experimental behavior, the platform effectively avoids the interference of programming language code, which simplifies the expression and application process of algorithm thinking, and enhances students interest and operation of programming working ability."
8005431,An Empirical Study on Blended Learning to Promote the Development of Computational Thinking Ability of College Students,"studies have shown that learning approaches are able to promote the developments of computational thinking on students, including cooperative learning, project-based learning, online communication, academic dialogue etc. therefore, these learning approaches can combine with the traditional teaching in a more effective way. blended learning may promote the developments of computational thinking on students. the paper takes the junior college students as the experimental objects, and carries a pretest-posttest study through unequal experimental and control groups. it approved that blended learning has a positive impact on the college students computational thinking, i.e., they have an obvious progress."
7739688,Computational thinking tools,"computational thinking is an essential skill for all students in the 21st century. a fundamental question is how can we create computer affordances to empower novice teachers and students, in a variety of stem and art disciplines, to think computationally while avoiding difficult overhead emerging from traditional coding over the last 20 years we have iteratively developed tools that aim to support computational thinking. as these tools evolved a philosophy emerged to support computational thinking by joining human abilities with computer affordances. chief among these findings is that supporting computational thinking is much more than making coding accessible. computational thinking tools aim to minimize coding overhead by supporting users through three fundamental stages of the computational thinking development cycle: problem formulation, solution expression, and solution executionevaluation."
10892901,What Concepts of Computational Thinking are Being Effectively Used in K12 Education: A Systematic Mapping,"this research article assesses the concepts of computational thinking (ct) as applied in basic education. although widely used in k12 education, many articles indicate a lack of uniformity in the conceptualization of ct. ct is defined as the systematic problem-solving ability based on algorithmic processes. it is seen as crucial for stimulating interest and diversity in stem careers. effective ct teaching requires precise conceptualization and appropriate teaching techniques. with the worlds increasing digitization, ct is considered as fundamental as reading or math skills and should be taught from k12 education. this article reports a systematic mapping of ct con-cepts applied in k12 activities, reflecting on the chosen activities and teaching techniques. despite some articles highlighting the unclear definition of ct, there is a notable agreement on its key concepts. the study used the ieeexplore database, analyzing primary articles from 20192023. the findings reveal a high degree of similarity in ct concepts, indicating a trend towards standardization. a catalog of frequently cited activities used to teach ct is presented, aiding teachers in introducing ct in their classes. this study supports the development of teaching policies and initiatives. contributing to stem interest and diversity."
5974984,Computational thinking and computer fundamental education,"computer basic education with computer science, and other subjects crossover study, their status has become unshakable. current international computer science. today, an important concept widely concerned over the field of computer science calculation thinking. his definition, characteristics and development and basic computer education inseparable, especially for basic computer course teaching practice in an important role."
10871090,Development of a Computational Thinking Learning Tool Using a Railway Toy and Music,"in japan, programming education in elementary schools has begun in 2020, and it is necessary to foster programming thinking effectively. various learning tools have been developed to introduce programming concepts, and many studies have been conducted to develop tools using music to foster computational thinking that includes programming thinking. in this study, we focused on the affinity between the basic movements of the railway toy and the melodies and chord progressions, and we developed a learning tool to foster computational thinking by combining music and the railway toy. in this study, an activity using this tool was developed and subjects were asked to experience the activity. based on the subjects progress in the activity and their opinions in the questionnaire, the improvement of the activity is discussed."
9028503,An Investigation of Undergraduates’ Computational Thinking in a Sophomore-Level Biomedical Engineering Course,"this research study presents our work focused on studying the development of introductory computational thinking in undergraduate biomedical engineering students. in response to the growing computational intensity of the healthcare industry, biomedical engineering (bme) undergraduate education is starting to emphasize computation and computational thinking. computational thinking is a way of thinking that uses concepts and methodologies of computing to solve problems in interdisciplinary and multidisciplinary subjects. in broader terms, computational thinking is not only associated with using computational tools but also with the thought process of solving a problem by data representation, problem decomposition, and algorithm design. despite being so important, there is little research work or information available on the development of computational thinking in bme undergraduate students. our research focuses on how bme undergraduate students develop computational thinking skills while performing group activities related to problem-solving. in order to conduct this study, we incorporate a teaching methodology that prompts computational thinking in a thermodynamics course being taught at a public mid-western university to approximately 120 sophomore students. we observe classroom activities involving analytical problem solving followed by pseudo code generation for computational coding. in order to investigate computational thinking, we collect classroom observations of small groups of students as they come up with a solution to an analytical problem with each other. we complement the observation notes of the classroom activities with follow up semi structured interviews with individual students from five groups. thematic analysis of the student interviews is used in order to analyze student responses towards the incorporation of computation intensive teaching methodology. this work in progress helps us expand our understanding of computational thinking development and the challenges involved in performing computational thinking activity in bme undergraduate students."
10892914,Integrating Computational Thinking Into the Curricula to Bridge the Skill Gap in Engineering Education,"this work-in-progress research-to-practice paper presents an intervention on integrating computational thinking modules into a software engineering course. the national consensus on the significance of computational thinking has prompted the expansion of related educational initiatives over the past decade. since the definition of computational thinking by wing in 2006, this concept has gained significant attention within the educational community. particularly this surge of interest has led to extensive research into its conceptual foundations and subsequent integration into educational curricula since 2013. national initiatives have since emerged to incorporate computational thinking into the educational system. furthermore, as artificial intelligence and computing systems become increasingly integrated into daily life, there is a growing demand from industries for a workforce and graduates adept at critical thinking and problem-solving. aligned with this national movement, our study presents a two-year institutional initiative, aimed at integrating computational thinking into the software engineering program. the software engineering discipline extensively involves design thinking and problem-solving skills. however, we noticed that these higher-level skills are not imparted early in the program to teach students this method of thinking and approaching problems. to bridge this skill gap, we developed a set of computational thinking modules and integrated them into a gateway course in the software engineering program. over two years, we implemented this intervention in an introductory-level course and evaluated its impact on students computational thinking skills by analyzing their responses to a standard computational thinking assessment survey. the results showed significant improvement in most components. these early findings underscore the effectiveness of integrating these computational thinking modules into the gateway courses, regardless of the specific course topic. a notable feature of these modules is their adaptability to diverse engineering courses, suggesting broader applicability across disciplines. moving forward, our research aims to expand the integration of the computational thinking modules into various courses in other institutes across the nation and analyze their impact on student performance."
9759837,"Investigating Elementary Teachers' Understanding, Beliefs, and Intentions toward STEM and Computational Thinking in Education","this study attempted to investigate elementary school teachers understandings, beliefs, and intentions toward stem and computational thinking. we collected data through a survey of 16 teachers at one elementary school in malang city, indonesia. they represented a variety of subjects with diverse learning experiences. the survey took place after the respondents received a short training about stem and computational thinking. quantitative analysis showed that most elementary school teachers positively demonstrated computational thinking practices in their schools. besides, they believed that computational thinking could help students think logically, structurally, and creatively, while stem helped train students to be problem solvers in an analytical, critical, and practical way. in addition, most respondents intended to continue learning and applying stem and computational thinking approaches in their learning design. added to this, the participants understanding of stem and computational thinking also improved based on the results of the wilcoxon test conducted on the pre-test and post-test. this study provides valuable information on the need for elementary teacher development programs, namely improving teachers teaching skills based on stem and computational thinking for preparing students with 21 st-century learning skills."
10605886,Exploring Computational Thinking Perspectives in Black Communities with Physiological Computing,"physiological computing (pc) technology is becoming increasingly popular as wearable hardware improves. however, little is known regarding potential connections between hands-on experience with physiological computing technology and computation thinking perspectives. this is particularly true for black communities. applications for physiological computing include systems such as wearable technology (e.g., apple watch) capable of mapping students physiological activity to various outputs. the work discussed in this paper presents our initial steps toward filling these gaps. in particular, we share our observations of computational thinking perspectives that emerged while black high school students constructed simple programs driven by near real-time brain wave information. our findings suggest interactive physiological data may lead to unique computational perspectives during learning activities."
9332734,STEM Education Activities Development to Promote Computational Thinking’s Students,"this research aims to develop stem learning activities for promote students computational thinking skills and the results of this learning activities toward computational thinking of senior school student in the computing classroom. the study groups were 30 secondary school students in pranakorn si ayutthaya who were studying in semester 1, academic year 2019. they were selected by purposive sampling method. the research instruments were; (1) stem education lesson plans for computational thinking developments; (2) the students journals; and (3) computational thinking test. the research was divided into three phases. the first phase focused on design lesson plans and learning activities for developing students computational thinking skills. the second phase is implement the lesson plans and learning activities with the study group. the third phase is evaluation of the effectiveness of learning activities on develop students computational thinking skills. the results shown learning activities can develop students computational thinking skills, because of these activities were challenged students with real everyday life problems that required to used their computational thinking to solve the problems by decompose problems, find pattern recognition, abstraction thinking and develop algorithm for computer programming. so, these stem learning activities could be effectively used in computing course."
